date,brand,name_product,old_price,new_price,detail
18.06.2020,Brother, MFC, 433, 299,-L8690CDW WiFi Laser/LED Couleur Impression recto verso
19.06.2020,Libratone, TRACK, 274, 199,Air+ Bundle In-Ear Noir ANC
20.06.2020,Devolo, kit ,164, 129, de demarrage WiFi 2-1-2 Magic 1 1200Mbit/s
21.06.2020,Suunto, Gift ,585, 449,Box 9 Baro Red avec bracelet en cuir supplementaire 50mm Polyamide
22.06.2020,Microsoft, 365 ,82, 65,Family 12 Mt 6x Android iOS Windows Mac OS X Windows Mobile Allemand Francais Italien
23.06.2020,Fairphone, 3, 515, 439,64Go Translucide fonc 565 Double SIM + SD 12Mpx 4G
25.06.2020,Samsung, Galaxy , 888, 699,Tab S6 inkl Book Cover Keyboard 1050 128Go rose blush 4G
26.06.2020,Klipsch, T5 ,189, 99,True wireless In-Ear Noir
27.06.2020,Samsung, T7 ,141, 109,Touch portable 500Go
28.06.2020,Lenovo, ThinkCentre ,899, 599,V530s Intel Core i5-9400 16Go 512Go SSD
29.06.2020,Samsung, QE65Q85R  , 1599, 1299,65  4K  One Connect Box  QLED
30.06.2020,Samsung, Galaxy , 1349, 699,S10+ 12GB 1000Go Ceramic White 6.40 Double SIM hybride 16Mpx 4G
01.07.2020,ASUS, VivoBook, 899, 719,17 X712FA-AU461T 1730 Full HD Intel Core i5-10210U 8Go 512Go SSD
03.07.2020, Netatmo, Lot , 319, 239,de 3 detecteurs de fumée intelligents
04.07.2020, Sanihero, Smartphone , 79.90, 59,UV-Sterilizer S1
05.07.2020, Alpine, EZI, 149, 99,DAB-BT
06.07.2020, Philips, 346B1C, 599, 399, 34 3440 1440 pixels
07.07.2020, Samsung, Galaxy, 899, 699,Note10+ 5G (256Go Aura Glow 680 SIM simple 16Mpx 5G)
08.07.2020, Samsung, M471A4G43MB1, 158, 119,CTD (1x 32Go DDR4-2666 SO-DIMM 260 broches)
09.07.2020, Aukey, USB , 45, 25,type C Nylon (lot de 5)
10.07.2020, NewStar, FPMA, 114, 99,-D960D (Tables 27)
11.07.2020, Brother, P-Touch , 89.90, 79,(180dpi)
12.07.2020, Woodcessories, EcoPad , 71.90, 49,(10W)
13.07.2020, Dell, U2719D , 400, 329,(27  2560 x 1440 pixels)
14.07.2020, ASUS,  Ensemble , 370, 279,WiFi 6 (routeur + adaptateur réseau)
15.07.2020, Dell, OptiPlex , 1099, 849,7070 (Intel Core i7-9700 16Go 512Go SSD)
16.07.2020, Soundboks, 3 , 905, 509,(Noir 40h)
17.07.2020, Lenovo, Yoga , 239, 189,Smart Tab 1010 64Go Grey sans LTE
18.07.2020, Lenovo, horloge, 115, 75, intelligente
19.07.2020, Atra, DP18 , 59.90, 39,Wireless Powerbank
20.07.2020, Samsung, QE49Q80T , 1399, 999,49 4K QLED 2020
21.07.2020, Medion, Erazer, 2299, 1899, X15809 1560 Full HD Intel Core i9-9980HK 32Go 1024Go SSD
22.07.2020, EVGA, GeForce , 590, 499,RTX 2070 Super KO Gaming 8Go
23.07.2020, Dell, Vostro ,937, 849, 5490  14  Full HD  Intel Core i7-10510U  16Go  512Go  SSD
24.07.2020, JBL, Under ,179, 99 ,Armour True Wireless Flash  Noir
25.07.2020,FiiO ,M5,129, 99 ,nan
29.07.2020,Kensington ,K38131EU,279, 199, DisplayPort  60W  USB Type-C  USB Type A 
30.07.2020,Epson ,ET-L3150  ,208, 159,EcoTank  WiFi  Reservoir d encre  Couleur
31.07.2020,Papyrus ,Lycra   ,120, 69 ,lot de 3  140-160 x 190-220 cm
01.08.2020,ASUS ,GT-AX11000 ,390, 319,Gaming
02.08.2020,Philips ,TAS6305/00   ,179, 99 ,Noir  20h
