date,brand,name_product,old_price,new_price,detail,discount,%
18.06.2020,Brother, MFC,433.0,299.0,-L8690CDW WiFi Laser/LED Couleur Impression recto verso,134.0,30.95
19.06.2020,Libratone, TRACK,274.0,199.0,Air+ Bundle In-Ear Noir ANC,75.0,27.37
20.06.2020,Devolo, kit ,164.0,129.0, de demarrage WiFi 2-1-2 Magic 1 1200Mbit/s,35.0,21.34
21.06.2020,Suunto, Gift ,585.0,449.0,Box 9 Baro Red avec bracelet en cuir supplementaire 50mm Polyamide,136.0,23.25
22.06.2020,Microsoft, 365 ,82.0,65.0,Family 12 Mt 6x Android iOS Windows Mac OS X Windows Mobile Allemand Francais Italien,17.0,20.73
23.06.2020,Fairphone, 3,515.0,439.0,64Go Translucide fonc 565 Double SIM + SD 12Mpx 4G,76.0,14.76
25.06.2020,Samsung, Galaxy ,888.0,699.0,Tab S6 inkl Book Cover Keyboard 1050 128Go rose blush 4G,189.0,21.28
26.06.2020,Klipsch, T5 ,189.0,99.0,True wireless In-Ear Noir,90.0,47.62
27.06.2020,Samsung, T7 ,141.0,109.0,Touch portable 500Go,32.0,22.7
28.06.2020,Lenovo, ThinkCentre ,899.0,599.0,V530s Intel Core i5-9400 16Go 512Go SSD,300.0,33.37
29.06.2020,Samsung, QE65Q85R  ,1599.0,1299.0,65  4K  One Connect Box  QLED,300.0,18.76
30.06.2020,Samsung, Galaxy ,1349.0,699.0,S10+ 12GB 1000Go Ceramic White 6.40 Double SIM hybride 16Mpx 4G,650.0,48.18
01.07.2020,ASUS, VivoBook,899.0,719.0,17 X712FA-AU461T 1730 Full HD Intel Core i5-10210U 8Go 512Go SSD,180.0,20.02
03.07.2020, Netatmo, Lot ,319.0,239.0,de 3 detecteurs de fumée intelligents,80.0,25.08
04.07.2020, Sanihero, Smartphone ,79.9,59.0,UV-Sterilizer S1,20.9,26.16
05.07.2020, Alpine, EZI,149.0,99.0,DAB-BT,50.0,33.56
06.07.2020, Philips, 346B1C,599.0,399.0, 34 3440 1440 pixels,200.0,33.39
07.07.2020, Samsung, Galaxy,899.0,699.0,Note10+ 5G (256Go Aura Glow 680 SIM simple 16Mpx 5G),200.0,22.25
08.07.2020, Samsung, M471A4G43MB1,158.0,119.0,CTD (1x 32Go DDR4-2666 SO-DIMM 260 broches),39.0,24.68
09.07.2020, Aukey, USB ,45.0,25.0,type C Nylon (lot de 5),20.0,44.44
10.07.2020, NewStar, FPMA,114.0,99.0,-D960D (Tables 27),15.0,13.16
11.07.2020, Brother, P-Touch ,89.9,79.0,(180dpi),10.9,12.12
12.07.2020, Woodcessories, EcoPad ,71.9,49.0,(10W),22.9,31.85
13.07.2020, Dell, U2719D ,400.0,329.0,(27  2560 x 1440 pixels),71.0,17.75
14.07.2020, ASUS,  Ensemble ,370.0,279.0,WiFi 6 (routeur + adaptateur réseau),91.0,24.59
15.07.2020, Dell, OptiPlex ,1099.0,849.0,7070 (Intel Core i7-9700 16Go 512Go SSD),250.0,22.75
16.07.2020, Soundboks, 3 ,905.0,509.0,(Noir 40h),396.0,43.76
17.07.2020, Lenovo, Yoga ,239.0,189.0,Smart Tab 1010 64Go Grey sans LTE,50.0,20.92
18.07.2020, Lenovo, horloge,115.0,75.0, intelligente,40.0,34.78
19.07.2020, Atra, DP18 ,59.9,39.0,Wireless Powerbank,20.9,34.89
20.07.2020, Samsung, QE49Q80T ,1399.0,999.0,49 4K QLED 2020,400.0,28.59
21.07.2020, Medion, Erazer,2299.0,1899.0, X15809 1560 Full HD Intel Core i9-9980HK 32Go 1024Go SSD,400.0,17.4
22.07.2020, EVGA, GeForce ,590.0,499.0,RTX 2070 Super KO Gaming 8Go,91.0,15.42
23.07.2020, Dell, Vostro ,937.0,849.0, 5490  14  Full HD  Intel Core i7-10510U  16Go  512Go  SSD,88.0,9.39
24.07.2020, JBL, Under ,179.0,99.0,Armour True Wireless Flash  Noir,80.0,44.69
25.07.2020,FiiO ,M5,129.0,99.0,,30.0,23.26
29.07.2020,Kensington ,K38131EU,279.0,199.0, DisplayPort  60W  USB Type-C  USB Type A ,80.0,28.67
30.07.2020,Epson ,ET-L3150  ,208.0,159.0,EcoTank  WiFi  Reservoir d encre  Couleur,49.0,23.56
31.07.2020,Papyrus ,Lycra   ,120.0,69.0,lot de 3  140-160 x 190-220 cm,51.0,42.5
01.08.2020,ASUS ,GT-AX11000 ,390.0,319.0,Gaming,71.0,18.21
02.08.2020,Philips ,TAS6305/00   ,179.0,99.0,Noir  20h,80.0,44.69
03.08.2020,Dji ,Osmo ,348.0,269.0,Pocket kit Etui de recharge  60p  4K,79.0,22.7
04.08.2020,AO , CU34G2BK,509.0,399.0,,110.0,21.61
05.08.2020,Medion ,Erazer ,1199.0,999.0,Engineer P10 MD34799  Intel Core i5-10400F  16Go  512Go  1To  SSD  HDD,200.0,16.68
06.08.2020,XQISIT ,Chargeur ,64.0,39.0,de secours premium  20000mAh  18W,25.0,39.06
07.08.2020,Acer ,Aspire ,599.0,479.0,3  A315-56-59WP  15 60  Full HD  Intel Core i5-1035G1  8Go  256Go  SSD ,120.0,20.03
08.08.2020, Xtorm, Set ,163.0,119.0,de chargeurs de secours XB303 Voyager & XB300 Hubble (26000mAh 60W),44.0,26.99
09.08.2020,Toshiba ,Canvio  ,99.0,79.0,Basics  4To,20.0,20.2
10.08.2020,Samsung , QE55Q60T,949.0,679.0, (55 4K QLED 2020),270.0,28.45
11.08.2020, Logitech, MX,109.0,79.0,Master 3 (Sans fil),30.0,27.52
12.08.2020, Lenovo, Legion ,1699.0,1399.0,T5 28IMB05 (Intel Core i7-10700 16Go 512GO 1To SSD HDD),300.0,17.66
13.08.2020,Energizer ,Lot ,59.7,34.0,Max Alkaline 40 AA + 20 AAA  60pcs  AA / LR6 / Mignon  AAA / LR03 / Micro,25.7,43.05
14.08.2020,Dell ,PowerEdge  ,429.0,359.0,T40  Intel Xeon E-2244G  64Go,70.0,16.32
15.08.2020,L33T ,Elite ,245.0,189.0, V3,56.0,22.86
16.08.2020,Aukey ,Powerbank  ,90.0,69.0,PB-XD26  26800mAh  45W,21.0,23.33
17.08.2020,OnePlus ,7T ,729.0,599.0,Pro  8 Go   256Go  Haze blue  6 67  Double carte SIM  48Mpx  4G,130.0,17.83
18.08.2020,Samsung ,LU28R550UQUXES ,259.0,259.0,28  3840 x 2160 pixels,0.0,0.0
